Time,Steer.Ang,Steer.Vel,Steer.Acc,carx,cary,caryaw,carv,alHori,Roll
0.0,0.0,0.0,0.0,2.197600431196119,-5.250002549105276,-1.1006062334578964e-09,5.555555555555555,0.009767903781497552,4.450140829714294e-06
0.01,0.0015854895114898683,0.044703609310341036,7.137399943467902,2.253141088726069,-5.2500020137526295,-7.347661346208722e-08,5.553617280855474,-0.07160522018183009,5.3057225319609356e-06
0.02,-0.11733710467815399,0.09455782165494744,6.242621203008899,2.308654733739722,-5.250000587594065,1.315377632285817e-07,5.5520537368047895,-7.076383458214333,5.75382554701162e-06
0.03,-0.24253073036670683,0.1167294006120537,0.9105108885747194,2.364129719940198,-5.249998604599147,-6.102571156061387e-07,5.547115832635287,-12.936102764917035,7.629342511928533e-06
0.04,-0.21414289176464074,0.12397004951855684,0.5214476502535255,2.4195347429536627,-5.249997914557263,-3.578244355458096e-06,5.5382272302677515,-13.124265306949809,5.251578804145003e-06
0.05,-0.13453356921672804,0.13039969017666897,1.2361578822783759,2.474824046946126,-5.25000354384057,-1.2686512047171598e-05,5.524227583877647,-12.702001023074512,-1.1273110145733904e-05
0.06,-0.05567789375782001,0.15362477131683575,3.623950485907545,2.5299453899339133,-5.250023969310508,-3.436798857824975e-05,5.504995706523431,-11.912522651541044,-5.444709360980359e-05
0.07,-0.042630735039710876,0.2060740595798067,6.827866752955042,2.58484984742337,-5.250069565863919,-7.642045241156012e-05,5.481251516303632,-11.061146113218147,-0.00013723473558211138
0.08,-0.13519416153430922,0.29277022244417167,10.194206765207205,2.63949792757456,-5.250149773436707,-0.00014600805282144968,5.454121874602948,-10.419462926811383,-0.0002682889813386449
0.09,-0.09056077301502212,0.410480283490763,13.003521343590828,2.6938617700601974,-5.250270489670949,-0.00024786088713335666,5.424779126357403,-10.112553243452995,-0.0004490049835731169
0.1,-0.0013586014509198614,0.5479960732749363,14.057572664913351,2.7479244241515985,-5.250432890662757,-0.00038332080075905166,5.394215463708379,-10.087397968994466,-0.0006713642138713213
0.11,-0.03168381750583622,0.6787985330040409,11.826572611877573,2.8016775632254642,-5.2506329568865135,-0.0005498155902651065,5.363150285622806,-10.173605445164624,-0.0009169566000541466
0.12,-0.17152641713619196,0.7427186856757514,2.3725935882727174,2.8551186094280774,-5.250861381222778,-0.0007406609853535041,5.332011928677585,-10.17747571829109,-0.0011601338787876334
0.13,-0.23650192916393262,0.7593963008060693,0.9789951272709532,2.9082481611804933,-5.251104963258146,-0.0009459338223782876,5.301010347633592,-10.03980746157238,-0.0013733952750051366
